City,State,Total_Population,Median_Income,Unemployment_Rate,Median_Age,Type,Total no. of census tracts,Total no. of disadvantaged tracts,Percentage of disadvantaged population
Palmer Town city,Massachusetts,12236,68694,6.35,45.7,City,4,0,0
Peabody city,Massachusetts,53004,80681,4.05,46.6,City,11,1,12.95
Pittsfield city,Massachusetts,42514,56620,7.21,43.9,City,11,4,36.89
Quincy city,Massachusetts,94389,80462,5.82,38.5,City,25,5,26.59
Randolph Town city,Massachusetts,34214,87803,6.73,40.8,City,6,0,0
Revere city,Massachusetts,53400,68331,7,39.2,City,15,6,92.27
Salem city,Massachusetts,43350,66428,4.58,38.2,City,15,1,7.78
Somerville city,Massachusetts,81175,102311,3.01,31.5,City,25,2,15.67
Southbridge Town city,Massachusetts,16865,52900,7.36,40.2,City,5,3,56.57
Springfield city,Massachusetts,153677,41571,8.84,33.6,City,37,28,77.04
Taunton city,Massachusetts,57327,63433,5.8,39,City,11,3,24.62
Waltham city,Massachusetts,62597,95851,2.58,34.3,City,13,0,0
Watertown Town city,Massachusetts,35749,100434,5.21,39.5,City,10,0,0
West Springfield Town city,Massachusetts,28527,54516,4.85,37.1,City,6,2,35.14
Westfield city,Massachusetts,41303,74456,4.26,39.3,City,8,0,0
Weymouth Town city,Massachusetts,57213,85536,6.34,43.8,City,13,0,0
Winthrop Town city,Massachusetts,18558,76996,5.79,45.2,City,7,0,0
Woburn city,Massachusetts,40297,92084,5.56,39.7,City,8,0,0
Worcester city,Massachusetts,185186,51647,4.97,34.6,City,46,19,43.74
Adrian city,Michigan,20550,35320,3.79,34.6,City,8,4,55.21
Albion city,Michigan,8380,35546,11.54,29.3,City,4,2,45.45
Algonac city,Michigan,4057,48925,5.01,39.8,City,1,0,0
Allegan city,Michigan,5017,40284,2.41,32.1,City,3,1,100
Allen Park city,Michigan,27089,69331,3.86,43.4,City,10,0,0
Alma city,Michigan,8918,35670,7.41,32.2,City,3,0,0
Alpena city,Michigan,9987,38260,9.49,44.1,City,6,4,62.64
Ann Arbor city,Michigan,121093,69456,3.55,27.5,City,41,1,1.42
Au Gres city,Michigan,870,42000,21.05,59,City,1,1,100
Auburn city,Michigan,1990,49861,0.93,44.7,City,12,0,0
Auburn Hills city,Michigan,23984,68780,5.26,33.1,City,11,0,0
Bad Axe city,Michigan,2930,37849,5.23,41.5,City,1,1,100
Bangor city,Michigan,2135,46458,4.59,30.9,City,2,0,0
Battle Creek city,Michigan,51084,42285,6.6,36.5,City,23,12,53.71
Bay city,Michigan,32892,38014,7.94,38.5,City,12,8,61.74
Beaverton city,Michigan,1270,24883,5.4,39.5,City,1,1,100
Belding city,Michigan,5729,46319,5.24,34.4,City,3,2,100
Belleville city,Michigan,3879,52810,8.32,41.7,City,1,0,0
Benton Harbor city,Michigan,9806,21947,18.98,36.6,City,8,7,100
Berkley city,Michigan,15352,93038,2.12,37.3,City,5,0,0
Bessemer city,Michigan,1659,42566,3.28,50.8,City,1,0,0
Big Rapids city,Michigan,10358,28628,7.78,22.8,City,6,2,62.54
Birmingham city,Michigan,21272,126601,3.27,41.5,City,7,0,0
Bloomfield Hills city,Michigan,3995,177614,1.35,50.7,City,1,0,0
Boyne city,Michigan,3721,55357,7.91,42.9,City,5,0,0
Bridgman city,Michigan,2416,71133,5.04,42.6,City,2,0,0
Brighton city,Michigan,7649,60015,2.07,43.9,City,4,0,0
Bronson city,Michigan,2061,39093,4.58,37.1,City,2,1,52.42
Brown city,Michigan,1190,44800,12.65,43.3,City,2,1,49.52
Buchanan city,Michigan,4270,43668,5.25,33.3,City,1,1,100
Burton city,Michigan,28598,48174,6.96,42.5,City,8,4,49.97
Cadillac city,Michigan,10462,40309,5.37,38.8,City,5,3,45.51
Caro city,Michigan,4024,34491,14.33,45.8,City,4,2,49
Carson city,Michigan,1038,35945,0.45,38,City,1,1,100
Caseville city,Michigan,600,44286,4.24,64.2,City,2,0,0
Caspian city,Michigan,491,32813,9.36,49,City,1,1,100
Cedar Springs city,Michigan,3703,46514,6.5,39.6,City,1,0,0
Center Line city,Michigan,8212,45210,8.09,39.7,City,2,1,34.37
Charlevoix city,Michigan,2467,36341,7.93,40.2,City,3,1,30.19
Charlotte city,Michigan,9069,53720,5.96,35.8,City,4,1,18.62
Cheboygan city,Michigan,4725,34964,7.54,40.9,City,2,2,100
Chelsea city,Michigan,5378,66250,2.08,48.7,City,2,0,0
Clare city,Michigan,3127,45545,7.67,40.4,City,3,3,100
Clawson city,Michigan,11909,71376,3.03,42.1,City,4,0,0
Clio city,Michigan,2036,33977,9.53,46.9,City,1,1,100
Coldwater city,Michigan,12203,40561,3.42,40.1,City,6,2,52.54
Coleman city,Michigan,1235,37167,4.92,36.1,City,1,1,100
Coloma city,Michigan,1315,45074,8.31,32.2,City,1,0,0
Coopersville city,Michigan,4388,56824,4.81,29.9,City,1,0,0
Corunna city,Michigan,3363,41905,3.91,37.9,City,2,0,0
Croswell city,Michigan,2402,44472,5.46,40.3,City,1,0,0
Crystal Falls city,Michigan,1626,52679,5.71,44,City,2,1,53.51
Davison city,Michigan,4896,47277,5.98,40.9,City,2,0,0
Dearborn city,Michigan,94328,56302,6.58,32.1,City,48,16,49.56
Dearborn Heights city,Michigan,55630,50987,6.58,36.1,City,16,7,43.83
Detroit city,Michigan,672351,32498,14.91,34.6,City,277,210,89
DeWitt city,Michigan,4743,92652,4.1,45.2,City,3,0,0
Dexter city,Michigan,4691,86944,5.13,38.3,City,3,0,0
Douglas city,Michigan,1107,53125,2.46,55.3,City,2,0,0
Dowagiac city,Michigan,5695,40836,9.91,37.2,City,4,2,100
Durand city,Michigan,3308,51776,4.47,42.3,City,2,0,0
East Grand Rapids city,Michigan,11855,141406,1.96,38.1,City,3,0,0
East Jordan city,Michigan,2133,46458,4.65,44.4,City,2,0,0
East Lansing city,Michigan,48437,40800,7.15,21.4,City,24,1,3.62
East Tawas city,Michigan,2729,36742,5.4,59.2,City,2,1,100
Eastpointe city,Michigan,32221,49800,8.45,38.1,City,10,6,67.12
Eaton Rapids city,Michigan,5229,48232,2.31,38.5,City,3,0,0
Ecorse city,Michigan,9456,34278,9.91,39.1,City,5,3,100
Escanaba city,Michigan,12180,33102,5.85,42.3,City,7,2,26.93
Essexville city,Michigan,3294,59961,3.78,40.8,City,1,0,0
Evart city,Michigan,1673,30511,13.15,39.2,City,2,1,100
Farmington city,Michigan,10520,78875,2.46,38.2,City,27,0,0
Farmington Hills city,Michigan,80937,85152,4.7,42.8,City,24,0,0
Fennville city,Michigan,1939,55750,4.42,30.7,City,2,0,0
Fenton city,Michigan,11368,62672,5.52,38.2,City,5,0,0
Ferndale city,Michigan,20139,77100,2.86,34.8,City,7,0,0
Flat Rock city,Michigan,9974,57277,4.79,37.2,City,4,0,0
Flint city,Michigan,95999,30383,19.53,36.3,City,42,39,95.58
Flushing city,Michigan,7891,63750,3.73,45.2,City,3,0,0
Frankenmuth city,Michigan,5396,76115,2.99,46,City,2,0,0
Frankfort city,Michigan,922,44107,10.93,65.3,City,1,0,0
Fraser city,Michigan,14503,57345,5.33,41,City,4,0,0
Fremont city,Michigan,4030,39508,3.04,37.2,City,2,1,47.78
Gaastra city,Michigan,330,44167,12.93,46.8,City,1,1,100
Galesburg city,Michigan,2201,35339,5.23,36.6,City,2,0,0
Garden city,Michigan,26565,57011,6.16,43,City,9,1,9.21
Gaylord city,Michigan,3644,33353,0,41.3,City,3,0,0
Gibraltar city,Michigan,4546,74919,6.06,46.4,City,1,0,0
Gladstone city,Michigan,4708,55214,2.49,37.9,City,2,0,0
Gladwin city,Michigan,2888,39554,7.62,40.9,City,1,1,100
Gobles city,Michigan,796,45750,5.71,42.2,City,1,0,0
Grand Blanc city,Michigan,7881,62784,5.04,39.1,City,2,0,0
Grand Haven city,Michigan,10991,54270,6.29,43.5,City,5,0,0
Grand Ledge city,Michigan,7860,61095,5.23,42.4,City,4,0,0
Grand Rapids city,Michigan,199417,51333,5.79,31.2,City,58,23,48.26
Grandville city,Michigan,15906,65656,2.1,35.7,City,3,0,0
Grant city,Michigan,1110,45673,15.28,27.6,City,2,0,0
Grayling city,Michigan,1969,27083,9.92,42,City,2,1,52.92
Greenville city,Michigan,8407,43689,8.44,36.4,City,3,0,0
Grosse Pointe city,Michigan,5176,117222,2.79,47.6,City,15,0,0
Grosse Pointe Farms city,Michigan,9142,140647,3.2,46.1,City,4,0,0
Grosse Pointe Park city,Michigan,11108,122800,2.87,41.4,City,4,0,0
Grosse Pointe Woods city,Michigan,15409,111392,5.49,44.7,City,4,0,0
Hamtramck city,Michigan,21704,29230,10.61,27.5,City,8,5,98.83
Hancock city,Michigan,4526,39886,3.08,34.7,City,2,0,0
Harbor Beach city,Michigan,1862,41167,6.58,46.9,City,1,1,100
Harbor Springs city,Michigan,1107,51050,6.79,62.4,City,2,0,0
Harper Woods city,Michigan,13829,50718,8.9,37.2,City,4,2,56.12
Harrison city,Michigan,2034,24940,8.63,50,City,1,0,0
Harrisville city,Michigan,507,30208,8.44,54.5,City,1,1,100
Hart city,Michigan,2118,45132,8.99,37.3,City,3,2,64
Hartford city,Michigan,2588,35366,11.58,31.9,City,1,1,100
Hastings city,Michigan,7314,50824,7.29,34.6,City,3,0,0
Hazel Park city,Michigan,16452,43725,4.96,38.3,City,4,3,81.05
Highland Park city,Michigan,10818,20666,19.23,43.5,City,7,4,100
Hillsdale city,Michigan,8073,41435,3.93,28.8,City,4,2,43.02
Holland city,Michigan,33329,58796,3.61,32.9,City,10,0,0
Houghton city,Michigan,7805,21802,7.45,21.9,City,8,2,30.53
Howell city,Michigan,9610,47255,2.67,38.2,City,4,0,0
Hudson city,Michigan,2419,48250,3.73,35.6,City,4,1,20.06
Hudsonville city,Michigan,7353,75730,6.46,30,City,3,0,0
Huntington Woods city,Michigan,6303,150114,1.82,44.3,City,3,0,0
Imlay city,Michigan,3585,37070,9.3,35.7,City,1,1,100
Inkster city,Michigan,24398,32109,9.76,31.6,City,8,8,100
Ionia city,Michigan,11178,48880,6.36,36.4,City,5,2,30.54
Iron Mountain city,Michigan,7352,48086,5.24,44.3,City,4,1,20.56
Iron River city,Michigan,2831,37452,3.99,46.6,City,3,2,74.9
Ironwood city,Michigan,4925,27261,5.71,49.6,City,4,2,67.96
Ishpeming city,Michigan,6433,46783,7.24,39.4,City,6,1,9.44
Ithaca city,Michigan,2864,52219,1.16,38.2,City,3,1,31.93
Jackson city,Michigan,32251,37192,10.28,35.1,City,13,11,85.82
Jonesville city,Michigan,2722,44211,8.04,29.9,City,1,0,0
Kalamazoo city,Michigan,76106,43222,8.02,26.4,City,27,10,52.31
Keego Harbor city,Michigan,3323,60813,2.22,39.6,City,1,0,0
Kentwood city,Michigan,51780,55046,3.85,34.1,City,16,1,11.08
Kingsford city,Michigan,4983,47313,2.31,41.6,City,3,1,27.65
Laingsburg city,Michigan,1586,61250,1.72,29,City,1,0,0
Lake Angelus city,Michigan,322,179444,2.45,60.7,City,1,0,0
Lake city,Michigan,729,49609,9.31,39.8,City,2,1,100
Lansing city,Michigan,117488,44233,9.59,32.7,City,50,23,47.8
Lapeer city,Michigan,8626,42255,5.74,39.9,City,5,2,33.77
Lathrup Village city,Michigan,4109,97083,10.83,46.1,City,1,0,0
Leslie city,Michigan,2178,58261,7.02,33.2,City,1,0,0
Lincoln Park city,Michigan,36525,47094,6.66,36.1,City,11,9,80.52
Linden city,Michigan,3922,64511,9.07,39.9,City,1,0,0
Litchfield city,Michigan,1232,43780,3.91,37.4,City,1,0,0
Livonia city,Michigan,93970,82158,4.59,45.3,City,34,0,0
Lowell city,Michigan,4136,64492,3.06,36.8,City,2,0,0
Ludington city,Michigan,8081,39248,4.25,43,City,4,2,54.83
Luna Pier city,Michigan,1134,37031,8.37,47.8,City,1,0,0
Mackinac Island city,Michigan,992,43125,5.94,43.1,City,1,1,100
Madison Heights city,Michigan,30000,54668,3.37,40.5,City,8,2,42.82
Manistee city,Michigan,6116,50097,7.22,47.1,City,4,1,18.32
Manistique city,Michigan,2931,32027,8.36,50.6,City,3,1,39.43
Manton city,Michigan,1228,38288,6.84,33.4,City,1,1,100
Marine city,Michigan,4083,52718,3.98,50.9,City,1,0,0
Marlette city,Michigan,2002,32042,11.45,36.5,City,1,1,100
Marquette city,Michigan,20631,42746,6.87,28.6,City,11,1,9.35
Marshall city,Michigan,6947,58175,9.94,46.6,City,4,1,24.8
Marysville city,Michigan,9695,52906,5.56,44,City,3,0,0
Mason city,Michigan,8441,64241,3.84,38.8,City,3,0,0
McBain city,Michigan,724,36094,10.94,47,City,1,1,100
Melvindale city,Michigan,10300,37438,11.61,37.1,City,2,2,100
Memphis city,Michigan,1064,53542,6.08,43.5,City,2,0,0
Menominee city,Michigan,8079,40237,6.37,47,City,3,1,33.96
Midland city,Michigan,41922,63867,4.13,37.9,City,15,2,13.31
Milan city,Michigan,6057,76333,4.02,37.4,City,3,0,0
Monroe city,Michigan,19543,53068,6.58,37.1,City,9,4,43.55
Montague city,Michigan,2801,62839,5.34,35.1,City,1,0,0
Montrose city,Michigan,2023,36458,4.9,32.8,City,1,1,100
Morenci city,Michigan,1932,41862,6.45,43.2,City,1,1,100
Mount Clemens city,Michigan,16212,47528,7.88,41.7,City,5,4,73.01
Mount Morris city,Michigan,2850,34988,13.06,36.4,City,1,1,100
Mount Pleasant city,Michigan,25290,39485,9.33,22.6,City,12,3,40.08
Munising city,Michigan,1991,39286,10.77,46.6,City,2,1,57.24
Muskegon city,Michigan,37317,35323,10.23,34.9,City,16,12,72.61
Muskegon Heights city,Michigan,10735,31431,17.03,31,City,4,4,100
Negaunee city,Michigan,4537,53734,2.75,38,City,6,0,0
New Baltimore city,Michigan,12333,83767,3.82,41.2,City,3,0,0
New Buffalo city,Michigan,1613,54421,4.46,48.4,City,2,0,0
Newaygo city,Michigan,2044,42337,5.21,35.8,City,3,1,34.1
Niles city,Michigan,11168,38415,8.29,37.3,City,6,4,76.74
North Muskegon city,Michigan,3795,81042,3.87,44.9,City,1,0,0
Northville city,Michigan,5968,129426,2.99,46.8,City,2,0,0
Norton Shores city,Michigan,24557,65727,5.84,39.1,City,6,1,21.48
Norway city,Michigan,2744,46659,3.38,46,City,2,0,0
Novi city,Michigan,60439,93943,3.85,39.2,City,13,0,0
Oak Park city,Michigan,29446,54202,6.8,37.1,City,8,4,41.25
Olivet city,Michigan,1675,37679,13.49,20.8,City,1,0,0
Omer city,Michigan,260,41667,13.73,49.8,City,1,1,100
Onaway city,Michigan,760,27697,16.01,43.7,City,1,1,100
Orchard Lake Village city,Michigan,2489,208750,2.19,49.7,City,1,0,0
Otsego city,Michigan,3980,52899,6.72,44.2,City,2,0,0
Ovid city,Michigan,1559,45000,2.33,35.7,City,1,0,0
Owosso city,Michigan,14476,41943,5.01,36.5,City,8,4,42.1
Parchment city,Michigan,1887,52386,5.16,32.2,City,1,0,0
Perry city,Michigan,2248,64911,1.1,30.9,City,2,0,0
Petersburg city,Michigan,1178,58641,7.64,41.9,City,1,0,0
Petoskey city,Michigan,5701,58197,1.63,42.3,City,3,1,30.87
Pinconning city,Michigan,1494,49185,4.21,42.5,City,1,0,0
Plainwell city,Michigan,3799,58776,2.27,42.3,City,2,0,0
Pleasant Ridge city,Michigan,2589,122422,8.02,45.9,City,1,0,0
Plymouth city,Michigan,9168,92662,2.85,45.3,City,3,0,0
Pontiac city,Michigan,59714,34673,11.01,33.6,City,18,15,96.44
Port Huron city,Michigan,28918,41165,9.54,38.3,City,11,7,90.49
Portage city,Michigan,49224,66571,6.31,37.1,City,12,0,0
Portland city,Michigan,3931,61002,1.23,31.8,City,2,0,0
Potterville city,Michigan,2731,54792,5.06,30.3,City,1,0,0
Reading city,Michigan,961,48616,3.66,38.6,City,1,1,100
Reed city,Michigan,2033,33646,8.16,43.4,City,2,2,100
Richmond city,Michigan,5851,54801,7.85,36.9,City,3,0,0
River Rouge city,Michigan,7465,22664,10.44,34.8,City,4,3,100
Riverview city,Michigan,12085,59841,3.78,43.1,City,5,0,0
Rochester city,Michigan,13203,92128,5.17,39.3,City,24,0,0
Rochester Hills city,Michigan,74340,99666,3.59,41.4,City,20,0,0
Rockford city,Michigan,6310,86694,8.32,37.2,City,2,0,0
Rockwood city,Michigan,3177,82969,1.98,42.3,City,1,0,0
Rogers city,Michigan,2669,40556,3.73,52.4,City,3,2,71.12
Romulus city,Michigan,23544,61314,8.78,36.5,City,9,2,28.35
Roosevelt Park city,Michigan,3792,55083,4.73,32.7,City,1,0,0
Rose city,Michigan,671,26932,20.77,38.3,City,1,1,100
Roseville city,Michigan,47160,49426,7.11,40.9,City,19,8,40.2
Royal Oak city,Michigan,59256,83194,2.86,35.3,City,19,0,0
Saginaw city,Michigan,48407,30845,11.08,35.4,City,21,20,95.15
Saline city,Michigan,9296,79007,5.6,44.3,City,2,0,0
Sandusky city,Michigan,2796,45602,5.49,44.7,City,1,1,100
Saugatuck city,Michigan,899,92083,0.93,53.4,City,1,0,0
Sault Ste. Marie city,Michigan,13526,44171,8.36,34.1,City,4,3,69.5
Scottville city,Michigan,1290,36875,2.74,36.1,City,1,0,0
South Haven city,Michigan,4340,54771,2.41,59.4,City,4,2,52.45
South Lyon city,Michigan,11818,74300,3.73,43.3,City,4,0,0
Southfield city,Michigan,72966,58076,7.13,42.2,City,23,4,16.59
Southgate city,Michigan,29129,59975,4.27,42.2,City,9,1,12.73
Springfield city,Michigan,5188,36005,5.77,32.6,City,4,4,100
St. Clair city,Michigan,5354,82674,6.65,42.7,City,25,0,0
St. Clair Shores city,Michigan,59184,62935,5.85,43.5,City,23,0,0
St. Ignace city,Michigan,2133,48226,6.27,48.3,City,2,2,100
St. Johns city,Michigan,7920,63313,2.33,39.1,City,3,1,27.08
St. Joseph city,Michigan,8328,60379,1.96,42.6,City,5,0,0
St. Louis city,Michigan,7156,42050,3.67,37.4,City,4,2,44.06
Standish city,Michigan,1397,27907,7.38,43.9,City,1,1,100
Stanton city,Michigan,1354,38920,3.61,41.5,City,1,1,100
Stephenson city,Michigan,888,41250,2.56,37.7,City,2,2,100
Sterling Heights city,Michigan,132296,66346,4.97,40.7,City,31,5,25.66
Sturgis city,Michigan,10853,42668,6.16,34.8,City,6,4,60.83
Swartz Creek city,Michigan,5535,52669,3.67,40.7,City,1,0,0
Sylvan Lake city,Michigan,1799,92500,4.03,48.8,City,1,0,0
Tawas city,Michigan,1824,49648,10.6,43.6,City,2,2,100
Taylor city,Michigan,61164,52872,6.24,39,City,23,5,28.18
Tecumseh city,Michigan,8361,58289,5.13,39.9,City,4,0,0
Three Rivers city,Michigan,7644,42546,5.86,31.3,City,6,3,43.15
Traverse city,Michigan,15525,61056,5.12,40.1,City,9,0,0
Trenton city,Michigan,18214,69710,3.79,48.7,City,8,0,0
Troy city,Michigan,84051,104132,3.64,42.1,City,22,1,3.21
Utica city,Michigan,5025,47244,6.25,45,City,2,1,32.78
Vassar city,Michigan,2549,40719,15.34,33.2,City,2,1,57.74
Village of Clarkston city,Michigan,818,80417,4,49.6,City,2,0,0
Village of Grosse Pointe Shores city,Michigan,2791,172250,1.79,52.6,City,3,0,0
Wakefield city,Michigan,1669,36186,2.91,42.5,City,2,1,100
Walker city,Michigan,24930,63878,2.85,37.2,City,7,1,24.7
Walled Lake city,Michigan,7153,53699,4.24,38.9,City,2,0,0
Warren city,Michigan,134188,51796,7.37,38.4,City,44,22,50.31
Watervliet city,Michigan,2082,46417,1.82,29.8,City,1,0,0
Wayland city,Michigan,4227,61071,3.01,30.4,City,2,0,0
Wayne city,Michigan,16894,47704,10.12,40.4,City,6,4,72.58
West Branch city,Michigan,2052,30508,5.82,45.3,City,2,2,100
Westland city,Michigan,81713,51956,4.87,38.8,City,24,7,30.11
White Cloud city,Michigan,1192,37656,3.55,36,City,1,1,100
Whitehall city,Michigan,2789,49185,2.63,44.7,City,3,0,0
Whittemore city,Michigan,370,30313,6.25,50,City,1,1,100
Williamston city,Michigan,3939,75862,2.36,39.9,City,2,0,0
Wixom city,Michigan,13970,58886,2.12,36,City,5,0,0
Woodhaven city,Michigan,12501,67067,5.7,47.4,City,7,0,0
Wyandotte city,Michigan,24944,54419,4.95,39.9,City,9,1,15.05
Wyoming city,Michigan,75999,57088,4.53,33.6,City,20,10,74.32
Yale city,Michigan,2216,43072,18.15,33.6,City,1,0,0
Ypsilanti city,Michigan,20792,40028,8.58,24.8,City,14,4,25.15
Zeeland city,Michigan,5540,58794,4.21,42.1,City,2,0,0
Zilwaukee city,Michigan,1754,58807,4.11,43.6,City,1,0,0
Ada city,Minnesota,1912,49531,8.43,38.2,City,2,0,0
Adams city,Minnesota,820,71500,8.6,51,City,1,0,0
Adrian city,Minnesota,1233,58333,1.54,38.7,City,1,0,0
Afton city,Minnesota,3008,109387,1.86,49.8,City,2,0,0
Aitkin city,Minnesota,2253,32841,5.5,44.9,City,2,1,100
Akeley city,Minnesota,386,37083,11.56,44.3,City,1,0,0
Albany city,Minnesota,2735,65000,0.77,34.1,City,1,0,0
Albert Lea city,Minnesota,17804,45929,4.28,44.6,City,7,3,41.43
Alberta city,Minnesota,150,59688,0,50.5,City,1,0,0
Albertville city,Minnesota,7483,73913,1,34.6,City,4,0,0
Alden city,Minnesota,708,58672,8.78,42.9,City,2,0,0
Aldrich city,Minnesota,44,48250,8,49,City,1,0,0
Alexandria city,Minnesota,13705,54572,2.41,39.4,City,8,0,0
Alpha city,Minnesota,162,97083,0,40.5,City,1,0,0
Altura city,Minnesota,451,60313,2.03,36.3,City,1,0,0
Alvarado city,Minnesota,384,47500,2.98,33.8,City,1,0,0
Amboy city,Minnesota,614,49423,3.44,39.9,City,1,0,0
Andover city,Minnesota,33019,112967,1.71,39.4,City,8,0,0
Annandale city,Minnesota,3420,45663,3.24,43.9,City,3,0,0
Anoka city,Minnesota,17512,60890,4.83,37.7,City,5,0,0
Apple Valley city,Minnesota,53728,90162,3.27,37.8,City,13,0,0
Appleton city,Minnesota,1339,35069,5.83,46.5,City,1,1,100
Arco city,Minnesota,71,53558,0,55.7,City,1,0,0
Arden Hills city,Minnesota,10276,105664,5.57,32.1,City,3,0,0
Argyle city,Minnesota,668,61875,0,45.7,City,1,0,0
Arlington city,Minnesota,2451,59395,2.15,33.7,City,1,0,0
Ashby city,Minnesota,425,52143,3.33,48.3,City,1,1,100
Askov city,Minnesota,329,40938,13.29,48.3,City,1,0,0
Atwater city,Minnesota,1141,54773,8.69,30.9,City,1,0,0
Audubon city,Minnesota,557,54219,8.38,40.3,City,1,0,0
Aurora city,Minnesota,1679,31523,8.81,50.2,City,1,1,100
Austin city,Minnesota,25180,48730,3.55,37.9,City,8,4,52.33
Avoca city,Minnesota,115,58333,3.45,50.8,City,1,0,0
Avon city,Minnesota,1547,85463,2.26,35.3,City,1,0,0
Babbitt city,Minnesota,1454,46452,2.23,53.4,City,2,0,0
Backus city,Minnesota,257,42344,1.6,28.6,City,1,1,100
Badger city,Minnesota,487,36406,6.12,32,City,1,0,0
Bagley city,Minnesota,1308,38500,3.72,43,City,1,0,0
Balaton city,Minnesota,601,50000,7.72,33.9,City,1,0,0
Barnesville city,Minnesota,2589,66875,1.43,32.5,City,1,0,0
Barnum city,Minnesota,618,52813,2.34,34.3,City,1,0,0
Barrett city,Minnesota,364,45000,7.69,51.4,City,1,0,0
Barry city,Minnesota,17,55625,14.29,32.5,City,1,0,0
Battle Lake city,Minnesota,639,47321,4.51,60.3,City,2,0,0
Baudette city,Minnesota,991,34531,0,37.9,City,1,1,100
Baxter city,Minnesota,8326,69725,1.66,40.7,City,5,1,39.47
Bayport city,Minnesota,3758,87986,2.44,39.1,City,2,0,0
Beardsley city,Minnesota,195,56250,5.5,47.5,City,1,0,0
Beaver Bay city,Minnesota,64,65313,3.57,60,City,1,0,0
Beaver Creek city,Minnesota,341,67778,0,32.6,City,1,0,0
Becker city,Minnesota,4919,75625,1.17,33,City,2,0,0
Bejou city,Minnesota,79,36429,0,54.2,City,1,1,100
Belgrade city,Minnesota,1027,52955,3.21,44,City,1,0,0
Belle Plaine city,Minnesota,7137,86422,0.84,36.2,City,2,0,0
Bellechester city,Minnesota,154,37500,15.62,40.5,City,2,0,0
Bellingham city,Minnesota,266,50313,0,35.8,City,1,0,0
Belview city,Minnesota,366,49063,2.04,41.5,City,1,0,0
Bemidji city,Minnesota,15277,36250,4.94,27.5,City,8,0,0
Bena city,Minnesota,116,15000,19.51,28.3,City,1,1,100
Benson city,Minnesota,3063,44167,1.76,44.1,City,2,1,65.79
Bertha city,Minnesota,569,51346,6.33,30.5,City,1,1,100
Bethel city,Minnesota,443,91250,4.17,34.9,City,1,0,0
Big Falls city,Minnesota,204,30357,9.09,59,City,1,0,0
